Code,Description1,Description2,Type,Unknown1,Unknown2,Unknown3,Unknown4
G8939001003,"Pain assessment documented as positive, follow-up plan not documented,","Pain as doc positive, no f/u00      9",,,C,M5B,1      0201301012021
G8939002004,documentation the patient is not eligible at the time of the encounter,,,,,,
G8940001003,"Screening for depression documented as positive, a follow-up plan not","Scr dep pos, no plan done   00      9",,,C,M5B,1      0201301012017
G8940002004,"completed, documented reason",,,,,,
G8941001003,"Elder maltreatment screen documented as positive, follow-up plan not",Eld maltreatment doc as pos 00      9,,,C,M5B,1      0201301012024
G8941002004,"documented, documentation the patient is not eligible for follow-up plan at the",,,,,,
G8941003004,time of the encounter,,,,,,
G8942001003,Functional outcome assessment using a standardized tool is documented within,Doc fcn/care plan w/30 days 00      9,,,C,M5B,1      0201301012024
G8942002004,"the previous 30 days and a care plan, based on identified deficiencies is",,,,,,
G8942003004,documented within two days of the functional outcome assessment,,,,,,
G8943001003,Ldl-c result not present or not within 12 months prior,Ldlc not pres w/i 12 mo prir00      9,,,C,M5B,1      0201301012015
G8944001003,Ajcc melanoma cancer stage 0 through iic melanoma,Ajcc mel cnr stg 0 - iic    00      9,,,C,M5B,1      0201301012013
G8946001003,Minimally invasive biopsy method attempted but not diagnostic of breast cancer,Mibm but no dx of breast ca 00      9,,,C,M5B,1      0201301012014
G8946002004,"(e.g., high risk lesion of breast such as atypical ductal hyperplasia, lobular",,,,,,
G8946003004,"neoplasia, atypical lobular hyperplasia, lobular carcinoma in situ, atypical",,,,,,
G8946004004,"columnar hyperplasia, flat epithelial atypia, radial scar, complex sclerosing",,,,,,
G8946005004,"lesion, papillary lesion, or any lesion with spindle cells)",,,,,,
G8947001003,One or more neuropsychiatric symptoms,1 or more neuropsych        00      9,,,C,M5B,1      0201301012018
G8948001003,No neuropsychiatric symptoms,No neuropsych symptoms      00      9,,,C,M5B,1      0201301012017
G8949001003,Documentation of patient reason(s) for patient not receiving counseling for,Doc pt reas on counsel diet 00      9,,,C,M5B,1      0201301012015
G8949002004,"diet and physical activity (e.g., patient is not willing to discuss diet or",,,,,,
G8949003004,"exercise interventions to help control blood pressure, or the patient said",,,,,,
G8949004004,he/she refused to make these changes),,,,,,
G8950001003,"Elevated or hypertensive blood pressure reading documented, and the indicated","Pre-htn or htn doc, f/u indc00      9",,,C,M5B,1      0201301012022
G8950002004,follow-up is documented,,,,,,
G8951001003,"Pre-hypertensive or hypertensive blood pressure reading documented, indicated","Pre-htn/htn doc, no pt f/u  00      9",,,C,M5B,1      0201301012016
G8951002004,"follow-up not documented, documentation the patient is not eligible",,,,,,
G8952001003,"Elevated or hypertensive blood pressure reading documented, indicated follow-up","Pre-htn/htn, no f/u, not gvn00      9",,,C,M5B,1      0201301012022
G8952002004,"not documented, reason not given",,,,,,
G8953001003,All quality actions for the applicable measures in the oncology measures group,Oncology mg qual act perform00      9,,,C,M5B,1      0201301012017
G8953002004,have been performed for this patient,,,,,,
G8955001003,Most recent assessment of adequacy of volume management documented,Most recent assess vol mgmt 00      9,,,C,M5B,1      0201301012016
G8956001003,Patient receiving maintenance hemodialysis in an outpatient dialysis facility,Pt rcv hedia outpt dyls fac 00      9,,,C,M5B,1      0201301012013
G8957001003,Patient not receiving maintenance hemodialysis in an outpatient dialysis,Pt no hedia in outpt fac    00      9,,,C,M5B,1      0201301012015
G8957002004,facility,,,,,,
G8958001003,"Assessment of adequacy of volume management not documented, reason not given",Assess vol mgmt not doc     00      9,,,C,M5B,1      0201301012013
G8959001003,Clinician treating major depressive disorder communicates to clinician treating,Clin tx mdd comm to tx clin 00      9,,,C,M5B,1      0201301012021
G8959002004,comorbid condition,,,,,,
G8960001003,Clinician treating major depressive disorder did not communicate to clinician,Clin tx mdd not comm        00      9,,,C,M5B,1      0201301012021
G8960002004,"treating comorbid condition, reason not given",,,,,,
G8961001003,Cardiac stress imaging test primarily performed on low-risk surgery patient for,Csit lowrisk surg pts preop 00      9,,,C,M5B,1      0201301012013
G8961002004,preoperative evaluation within 30 days preceding this surgery,,,,,,
G8962001003,Cardiac stress imaging test performed on patient for any reason including those,Csit on pt any reas 30 days 00      9,,,C,M5B,1      0201301012013
G8962002004,who did not have low risk surgery or test that was performed more than 30 days,,,,,,
G8962003004,preceding low risk surgery,,,,,,
G8963001003,Cardiac stress imaging performed primarily for monitoring of asymptomatic,Csi per asx pt w/pci 2 yrs  00      9,,,C,M5B,1      0201301012024
G8963002004,patient who had pci within 2 years,,,,,,
G8964001003,Cardiac stress imaging test performed primarily for any other reason than,Csi any other than pci 2 yr 00      9,,,C,M5B,1      0201301012024
G8964002004,"monitoring of asymptomatic patient who had pci within 2 years (e.g.,",,,,,,
G8964003004,"symptomatic patient, patient greater than 2 years since pci, initial",,,,,,
G8964004004,"evaluation, etc)",,,,,,
G8965001003,Cardiac stress imaging test primarily performed on low chd risk patient for,Csit perf on low chd rsk    00      9,,,C,M5B,1      0201301012025
G8965002004,initial detection and risk assessment,,,,,,
G8966001003,Cardiac stress imaging test performed on symptomatic or higher than low chd,Csit perf sx or high chd rsk00      9,,,C,M5B,1      0201301012025
G8966002004,risk patient or for any reason other than initial detection and risk assessment,,,,,,
G8967001003,Fda approved oral anticoagulant is prescribed,Warf or other fda drug presc00      9,,,C,M5B,1      0201301012022
G8968001003,Documentation of medical reason(s) for not prescribing an fda-approved,Doc med not presb           00      9,,,C,M5B,1      0201301012024
G8968002004,"anticoagulant (e.g., present or planned atrial appendage occlusion or ligation",,,,,,
G8968003004,or patient being currently enrolled in a clinical trial related to af/atrial,,,,,,
G8968004004,flutter treatment),,,,,,
G8969001003,Documentation of patient reason(s) for not prescribing an oral anticoagulant,Doc pt rsn no presc warf/fda00      9,,,C,M5B,1      0201301012022
G8969002004,"that is fda approved for the prevention of thromboembolism (e.g., patient",,,,,,
G8969003004,preference for not receiving anticoagulation),,,,,,
G8970001003,No risk factors or one moderate risk factor for thromboembolism,No rsk fac or 1 mod risk te 00      9,,,C,M5B,1      0201301012013
G8971001003,"Warfarin or another oral anticoagulant that is fda approved not prescribed,",Warfrn or othr antcog no rx 00      9,,,C,M5B,1      0201301012018
G8971002004,reason not given,,,,,,
G8972001003,One or more high risk factors for thromboembolism or more than one moderate,1>=risk or>= mod risk for te00      9,,,C,M5B,1      0201301012018
G8972002004,risk factor for thromboembolism,,,,,,
G8973001003,Most recent hemoglobin (hgb) level < 10 g/dl,Mst rcnt hbb < 10g/dl       00      9,,,C,M5B,1      0201301012021
G8974001003,"Hemoglobin level measurement not documented, reason not given",Hgb not doc rns not gvn     00      9,,,C,M5B,1      0201301012021
G8975001003,Documentation of medical reason(s) for patient having a hemoglobin level < 10,"Hgb <10g/dl, med rsn        00      9",,,C,M5B,1      0201301012021
G8975002004,"g/dl (e.g., patients who have non-renal etiologies of anemia [e.g., sickle cell",,,,,,
G8975003004,"anemia or other hemoglobinopathies, hypersplenism, primary bone marrow disease,",,,,,,
G8975004004,"anemia related to chemotherapy for diagnosis of malignancy, postoperative",,,,,,
G8975005004,"bleeding, active bloodstream or peritoneal infection], other medical reasons)",,,,,,
G8976001003,Most recent hemoglobin (hgb) level >= 10 g/dl,Hgb >= 10 g/dl              00      9,,,C,M5B,1      0201301012021
G8977001003,I intend to report the oncology measures group,Oncology measures grp       00      9,,,C,M5B,1      0201301012017
G8978001003,"Mobility: walking & moving around functional limitation, current status, at",Mobility current status     00      9,,,C,M5D,1      0201301012020
G8978002004,therapy episode outset and at reporting intervals,,,,,,
G8979001003,"Mobility: walking & moving around functional limitation, projected goal status,",Mobility goal status        00      9,,,C,M5D,1      0201301012020
G8979002004,"at therapy episode outset, at reporting intervals, and at discharge or to end",,,,,,
G8979003004,reporting,,,,,,
G8980001003,"Mobility: walking & moving around functional limitation, discharge status, at",Mobility d/c status         00      9,,,C,M5D,1      0201301012020
G8980002004,discharge from therapy or to end reporting,,,,,,
G8981001003,"Changing & maintaining body position functional limitation, current status, at",Body pos current status     00      9,,,C,M5D,1      0201301012020
G8981002004,therapy episode outset and at reporting intervals,,,,,,
G8982001003,"Changing & maintaining body position functional limitation, projected goal",Body pos goal status        00      9,,,C,M5D,1      0201301012020
G8982002004,"status, at therapy episode outset, at reporting intervals, and at discharge or",,,,,,
G8982003004,to end reporting,,,,,,
G8983001003,"Changing & maintaining body position functional limitation, discharge status,",Body pos d/c status         00      9,,,C,M5D,1      0201301012020
G8983002004,at discharge from therapy or to end reporting,,,,,,
G8984001003,"Carrying, moving & handling objects functional limitation, current status, at",Carry current status        00      9,,,C,M5D,1      0201301012020
G8984002004,therapy episode outset and at reporting intervals,,,,,,
G8985001003,"Carrying, moving and handling objects, projected goal status, at therapy",Carry goal status           00      9,,,C,M5D,1      0201301012020
G8985002004,"episode outset, at reporting intervals, and at discharge or to end reporting",,,,,,
G8986001003,"Carrying, moving & handling objects functional limitation, discharge status, at",Carry d/c status            00      9,,,C,M5D,1      0201301012020
G8986002004,discharge from therapy or to end reporting,,,,,,
G8987001003,"Self care functional limitation, current status, at therapy episode outset and",Self care current status    00      9,,,C,M5D,1      0201301012020
G8987002004,at reporting intervals,,,,,,
G8988001003,"Self care functional limitation, projected goal status, at therapy episode",Self care goal status       00      9,,,C,M5D,1      0201301012020
G8988002004,"outset, at reporting intervals, and at discharge or to end reporting",,,,,,
G8989001003,"Self care functional limitation, discharge status, at discharge from therapy or",Self care d/c status        00      9,,,C,M5D,1      0201301012020
G8989002004,to end reporting,,,,,,
G8990001003,"Other physical or occupational therapy primary functional limitation, current",Other pt/ot current status  00      9,,,C,M5D,1      0201301012020
G8990002004,"status, at therapy episode outset and at reporting intervals",,,,,,
G8991001003,"Other physical or occupational therapy primary functional limitation, projected",Other pt/ot goal status     00      9,,,C,M5D,1      0201301012020
G8991002004,"goal status, at therapy episode outset, at reporting intervals, and at",,,,,,
G8991003004,discharge or to end reporting,,,,,,
G8992001003,"Other physical or occupational therapy primary functional limitation, discharge",Other pt/ot  d/c status     00      9,,,C,M5D,1      0201301012020
G8992002004,"status, at discharge from therapy or to end reporting",,,,,,
G8993001003,"Other physical or occupational therapy subsequent functional limitation,",Sub pt/ot current status    00      9,,,C,M5D,1      0201301012020
G8993002004,"current status, at therapy episode outset and at reporting intervals",,,,,,
G8994001003,"Other physical or occupational therapy subsequent functional limitation,",Sub pt/ot goal status       00      9,,,C,M5D,1      0201301012020
G8994002004,"projected goal status, at therapy episode outset, at reporting intervals, and",,,,,,
G8994003004,at discharge or to end reporting,,,,,,
G8995001003,"Other physical or occupational therapy subsequent functional limitation,",Sub pt/ot d/c status        00      9,,,C,M5D,1      0201301012020
G8995002004,"discharge status, at discharge from therapy or to end reporting",,,,,,
G8996001003,"Swallowing functional limitation, current status at therapy episode outset and",Swallow current status      00      9,,,C,M5D,1      0201301012020
G8996002004,at reporting intervals,,,,,,
G8997001003,"Swallowing functional limitation, projected goal status, at therapy episode",Swallow goal status         00      9,,,C,M5D,1      0201301012020
G8997002004,"outset, at reporting intervals, and at discharge or to end reporting",,,,,,
G8998001003,"Swallowing functional limitation, discharge status, at discharge from therapy",Swallow d/c status          00      9,,,C,M5D,1      0201301012020
G8998002004,or to end reporting,,,,,,
G8999001003,"Motor speech functional limitation, current status at therapy episode outset",Motor speech current status 00      9,,,C,M5D,1      0201301012020
G8999002004,and at reporting intervals,,,,,,
G9001001003,"Coordinated care fee, initial rate","Mccd, initial rate          00      9",,,D,0097Y2,1      0200010012000
G9002001003,"Coordinated care fee, maintenance rate","Mccd,maintenance rate       00      9",,,D,0097Y2,1      0200010012000
G9003001003,"Coordinated care fee, risk adjusted high, initial","Mccd, risk adj hi, initial  00      9",,,D,0097Y2,1      0200010012000
G9004001003,"Coordinated care fee, risk adjusted low, initial","Mccd, risk adj lo, initial  00      9",,,D,0097Y2,1      0200010012000
G9005001003,"Coordinated care fee, risk adjusted maintenance","Mccd, risk adj, maintenance 00      9",,,D,0097Y2,1      0200010012000
G9006001003,"Coordinated care fee, home monitoring","Mccd, home monitoring       00      9",,,D,0097Y2,1      0200010012000
G9007001003,"Coordinated care fee, scheduled team conference","Mccd, sch team conf         00      9",,,D,0097Y2,1      0200010012000
G9008001003,"Coordinated care fee, physician coordinated care oversight services","Mccd,phys coor-care ovrsght 00      9",,,D,0097Y2,1      0200010012000
G9009001003,"Coordinated care fee, risk adjusted maintenance, level 3","Mccd, risk adj, level 3     00      9",,,D,0096Y2,1      0200110012001
G9010001003,"Coordinated care fee, risk adjusted maintenance, level 4","Mccd, risk adj, level 4     00      9",,,D,0096Y2,1      0200110012001
G9011001003,"Coordinated care fee, risk adjusted maintenance, level 5","Mccd, risk adj, level 5     00      9",,,D,0096Y2,1      0200110012001
G9012001003,Other specified case management service not elsewhere classified,Other specified case mgmt   00      9,,,D,0096Y2,1      0200110012001
G9013001003,Esrd demo basic bundle level i,Esrd demo bundle level i    00      9,,,M,0096Y2,1      0200407012004
G9014001003,Esrd demo expanded bundle including venous access and related services,Esrd demo bundle-level ii   00      9,,,M,0096Y2,1      0200407012004
G9016001003,"Smoking cessation counseling, individual, in the absence of or in addition to",Demo-smoking cessation coun 00      9,,,M,0096Y2,1      0200101012001
G9016002004,"any other evaluation and management service, per session (6-10 minutes) [demo",,,,,,
G9016003004,project code only],,,,,,
G9017001003,"Amantadine hydrochloride, oral, per 100 mg (for use in a medicare-approved",Amantadine hcl 100mg oral   13      A,,,C,O1E,1      0200412012020
G9017002004,demonstration project),,,,,,
G9018001003,"Zanamivir, inhalation powder, administered through inhaler, per 10 mg (for use","Zanamivir,inhalation pwd 10m13      A",,,C,O1E,1      0200412012020
G9018002004,in a medicare-approved demonstration project),,,,,,
G9019001003,"Oseltamivir phosphate, oral, per 75 mg (for use in a medicare-approved",Oseltamivir phosphate 75mg  13      A,,,C,O1E,1      0200412012020
G9019002004,demonstration project),,,,,,
G9020001003,"Rimantadine hydrochloride, oral, per 100 mg (for use in a medicare-approved",Rimantadine hcl 100mg oral  13      A,,,C,O1E,1      0200412012020
G9020002004,demonstration project),,,,,,
G9033001003,"Amantadine hydrochloride, oral brand, per 100 mg (for use in a",Amantadine hcl oral brand   13      A,,,C,O1E,1      0200412012020
G9033002004,medicare-approved demonstration project),,,,,,
G9034001003,"Zanamivir, inhalation powder, administered through inhaler, brand, per 10 mg","Zanamivir, inh pwdr, brand  00      9",,,C,O1E,1      0200412012020
G9034002004,(for use in a medicare-approved demonstration project),,,,,,
G9035001003,"Oseltamivir phosphate, oral, brand, per 75 mg (for use in a medicare-approved","Oseltamivir phosp, brand    00      9",,,C,O1E,1      0200412012020
G9035002004,demonstration project),,,,,,
G9036001003,"Rimantadine hydrochloride, oral, brand, per 100 mg (for use in a","Rimantadine hcl, brand      00      9",,,C,O1E,1      0200412012020
G9036002004,medicare-approved demonstration project),,,,,,
G9037001003,Interprofessional telephone/internet/electronic health record clinical,Intrpro req fr rec phys/qhcp00      9,,,C,Z2,1      0202407012025
G9037002004,question/request for specialty recommendations by a treating/requesting,,,,,,
G9037003004,physician or other qualified health care professional for the care of the,,,,,,
G9037004004,patient (i.e. not for professional education or scheduling) and may include,,,,,,
G9037005004,subsequent follow up on the specialist's recommendations; 30 minutes,,,,,,
G9038001003,Co-management services with the following elements: new diagnosis or acute,Co-management services      00      9,,,C,Z2,1      0202407012025
G9038002004,exacerbation and stabilization of existing condition; condition which may,,,,,,
G9038003004,benefit from joint care planning; condition for which specialist is taking a,,,,,,
G9038004004,co-management role; condition expected to last at least 3 months; comprehensive,,,,,,
G9038005004,"care plan established, implemented, revised or monitored in partnership with",,,,,,
G9038006004,co-managing clinicians; ongoing communication and care coordination between,,,,,,
G9038007004,co-managing clinicians furnishing care,,,,,,
G9050001003,"Oncology; primary focus of visit; work-up, evaluation, or staging at the time",Oncology work-up evaluation 00      9,,,I,P7B,1      0200601012007
G9050002004,of cancer diagnosis or recurrence (for use in a medicare-approved demonstration,,,,,,
G9050003004,project),,,,,,
G9051001003,Oncology; primary focus of visit; treatment decision-making after disease is,Oncology tx decision-mgmt   00      9,,,I,P7B,1      0200601012007
G9051002004,"staged or restaged, discussion of treatment options, supervising/coordinating",,,,,,
G9051003004,active cancer directed therapy or managing consequences of cancer directed,,,,,,
G9051004004,therapy (for use in a medicare-approved demonstration project),,,,,,
G9052001003,Oncology; primary focus of visit; surveillance for disease recurrence for,Onc surveillance for disease00      9,,,I,P7B,1      0200601012007
G9052002004,patient who has completed definitive cancer-directed therapy and currently,,,,,,
G9052003004,lacks evidence of recurrent disease; cancer directed therapy might be,,,,,,
G9052004004,considered in the future (for use in a medicare-approved demonstration project),,,,,,
G9053001003,Oncology; primary focus of visit; expectant management of patient with evidence,Onc expectant management pt 00      9,,,I,P7B,1      0200601012007
G9053002004,of cancer for whom no cancer directed therapy is being administered or arranged,,,,,,
G9053003004,at present; cancer directed therapy might be considered in the future (for use,,,,,,
G9053004004,in a medicare-approved demonstration project),,,,,,
G9054001003,"Oncology; primary focus of visit; supervising, coordinating or managing care of",Onc supervision palliative  00      9,,,I,P7B,1      0200601012007
G9054002004,patient with terminal cancer or for whom other medical illness prevents further,,,,,,
G9054003004,"cancer treatment; includes symptom management, end-of-life care planning,",,,,,,
G9054004004,management of palliative therapies (for use in a medicare-approved,,,,,,
G9054005004,demonstration project),,,,,,
G9055001003,"Oncology; primary focus of visit; other, unspecified service not otherwise",Onc visit unspecified nos   00      9,,,I,P7B,1      0200601012007
G9055002004,listed (for use in a medicare-approved demonstration project),,,,,,
G9056001003,Oncology; practice guidelines; management adheres to guidelines (for use in a,Onc prac mgmt adheres guide 00      9,,,I,P7B,1      0200601012007
G9056002004,medicare-approved demonstration project),,,,,,
G9057001003,Oncology; practice guidelines; management differs from guidelines as a result,Onc pract mgmt differs trial00      9,,,I,P7B,1      0200601012007
G9057002004,of patient enrollment in an institutional review board approved clinical trial,,,,,,
G9057003004,(for use in a medicare-approved demonstration project),,,,,,
G9058001003,Oncology; practice guidelines; management differs from guidelines because the,Onc prac mgmt disagree w/gui00      9,,,I,P7B,1      0200601012007
G9058002004,treating physician disagrees with guideline recommendations (for use in a,,,,,,
G9058003004,medicare-approved demonstration project),,,,,,
G9059001003,Oncology; practice guidelines; management differs from guidelines because the,Onc prac mgmt pt opt alterna00      9,,,I,P7B,1      0200601012007
G9059002004,"patient, after being offered treatment consistent with guidelines, has opted",,,,,,
G9059003004,"for alternative treatment or management, including no treatment (for use in a",,,,,,
G9059004004,medicare-approved demonstration project),,,,,,
G9060001003,Oncology; practice guidelines; management differs from guidelines for reason(s),Onc prac mgmt dif pt comorb 00      9,,,I,P7B,1      0200601012007
G9060002004,associated with patient comorbid illness or performance status not factored,,,,,,
G9060003004,into guidelines (for use in a medicare-approved demonstration project),,,,,,
G9061001003,Oncology; practice guidelines; patient's condition not addressed by available,Onc prac cond noadd by guide00      9,,,I,P7B,1      0200601012007
G9061002004,guidelines (for use in a medicare-approved demonstration project),,,,,,
G9062001003,Oncology; practice guidelines; management differs from guidelines for other,Onc prac guide differs nos  00      9,,,I,P7B,1      0200601012007
G9062002004,reason(s) not listed (for use in a medicare-approved demonstration project),,,,,,
G9063001003,Oncology; disease status; limited to non-small cell lung cancer; extent of,Onc dx nsclc stgi no progres00      9,,,C,P7B,1      0200601012007
G9063002004,"disease initially established as stage i (prior to neo-adjuvant therapy, if",,,,,,
G9063003004,"any) with no evidence of disease progression, recurrence, or metastases (for",,,,,,
G9063004004,use in a medicare-approved demonstration project),,,,,,
G9064001003,Oncology; disease status; limited to non-small cell lung cancer; extent of,Onc dx nsclc stg2 no progres00      9,,,C,P7B,1      0200601012007
G9064002004,"disease initially established as stage ii (prior to neo-adjuvant therapy, if",,,,,,
G9064003004,"any) with no evidence of disease progression, recurrence, or metastases (for",,,,,,
G9064004004,use in a medicare-approved demonstration project),,,,,,
G9065001003,Oncology; disease status; limited to non-small cell lung cancer; extent of,Onc dx nsclc stg3a no progre00      9,,,C,P7B,1      0200601012007
G9065002004,"disease initially established as stage iii a (prior to neo-adjuvant therapy, if",,,,,,
G9065003004,"any) with no evidence of disease progression, recurrence, or metastases (for",,,,,,
G9065004004,use in a medicare-approved demonstration project),,,,,,
G9066001003,Oncology; disease status; limited to non-small cell lung cancer; stage iii b-,Onc dx nsclc stg3b-4 metasta00      9,,,C,P7B,1      0200601012007
G9066002004,"iv at diagnosis, metastatic, locally recurrent, or progressive (for use in a",,,,,,
G9066003004,medicare-approved demonstration project),,,,,,
G9067001003,Oncology; disease status; limited to non-small cell lung cancer; extent of,Onc dx nsclc dx unknown nos 00      9,,,C,P7B,1      0200601012007
G9067002004,"disease unknown, staging in progress, or not listed (for use in a",,,,,,
G9067003004,medicare-approved demonstration project),,,,,,
G9068001003,Oncology; disease status; limited to small cell and combined small,Onc dx sclc/nsclc limited   00      9,,,C,P7B,1      0200601012007
G9068002004,cell/non-small cell; extent of disease initially established as limited with no,,,,,,
G9068003004,"evidence of disease progression, recurrence, or metastases (for use in a",,,,,,
G9068004004,medicare-approved demonstration project),,,,,,
G9069001003,"Oncology; disease status; small cell lung cancer, limited to small cell and",Onc dx sclc/nsclc ext at dx 00      9,,,C,P7B,1      0200601012007
G9069002004,"combined small cell/non-small cell; extensive stage at diagnosis, metastatic,",,,,,,
G9069003004,"locally recurrent, or progressive (for use in a medicare-approved demonstration",,,,,,
G9069004004,project),,,,,,
G9070001003,"Oncology; disease status; small cell lung cancer, limited to small cell and",Onc dx sclc/nsclc ext unknwn00      9,,,C,P7B,1      0200601012007
G9070002004,"combined small cell/non-small; extent of disease unknown, staging in progress,",,,,,,
G9070003004,or not listed (for use in a medicare-approved demonstration project),,,,,,
G9071001003,Oncology; disease status; invasive female breast cancer (does not include,"Onc dx brst stg1-2b hr,nopro00      9",,,C,P7B,1      0200601012007
G9071002004,ductal carcinoma in situ); adenocarcinoma as predominant cell type; stage i or,,,,,,
G9071003004,"stage iia-iib; or t3, n1, m0; and er and/or pr positive; with no evidence of",,,,,,
G9071004004,"disease progression, recurrence, or metastases (for use in a medicare-approved",,,,,,
G9071005004,demonstration project),,,,,,
G9072001003,Oncology; disease status; invasive female breast cancer (does not include,Onc dx brst stg1-2 noprogres00      9,,,C,P7B,1      0200601012007
G9072002004,"ductal carcinoma in situ); adenocarcinoma as predominant cell type; stage i, or",,,,,,
G9072003004,"stage iia-iib; or t3, n1, m0; and er and pr negative; with no evidence of",,,,,,
G9072004004,"disease progression, recurrence, or metastases (for use in a medicare-approved",,,,,,
G9072005004,demonstration project),,,,,,
G9073001003,Oncology; disease status; invasive female breast cancer (does not include,"Onc dx brst stg3-hr, no pro 00      9",,,C,P7B,1      0200601012007
G9073002004,ductal carcinoma in situ); adenocarcinoma as predominant cell type; stage,,,,,,
G9073003004,"iiia-iiib; and not t3, n1, m0; and er and/or pr positive; with no evidence of",,,,,,
G9073004004,"disease progression, recurrence, or metastases (for use in a medicare-approved",,,,,,
G9073005004,demonstration project),,,,,,
G9074001003,Oncology; disease status; invasive female breast cancer (does not include,Onc dx brst stg3-noprogress 00      9,,,C,P7B,1      0200601012007
G9074002004,ductal carcinoma in situ); adenocarcinoma as predominant cell type; stage,,,,,,
G9074003004,"iiia-iiib; and not t3, n1, m0; and er and pr negative; with no evidence of",,,,,,
G9074004004,"disease progression, recurrence, or metastases (for use in a medicare-approved",,,,,,
G9074005004,demonstration project),,,,,,
G9075001003,Oncology; disease status; invasive female breast cancer (does not include,Onc dx brst metastic/ recur 00      9,,,C,P7B,1      0200601012007
G9075002004,ductal carcinoma in situ); adenocarcinoma as predominant cell type; m1 at,,,,,,
G9075003004,"diagnosis, metastatic, locally recurrent, or progressive (for use in a",,,,,,
G9075004004,medicare-approved demonstration project),,,,,,
G9077001003,"Oncology; disease status; prostate cancer, limited to adenocarcinoma as",Onc dx prostate t1no progres00      9,,,C,P7B,1      0200601012007
G9077002004,predominant cell type; t1-t2c and gleason 2-7 and psa < or equal to 20 at,,,,,,
G9077003004,"diagnosis with no evidence of disease progression, recurrence, or metastases",,,,,,
G9077004004,(for use in a medicare-approved demonstration project),,,,,,
G9078001003,"Oncology; disease status; prostate cancer, limited to adenocarcinoma as",Onc dx prostate t2no progres00      9,,,C,P7B,1      0200601012007
G9078002004,predominant cell type; t2 or t3a gleason 8-10 or psa > 20 at diagnosis with no,,,,,,
G9078003004,"evidence of disease progression, recurrence, or metastases (for use in a",,,,,,
G9078004004,medicare-approved demonstration project),,,,,,
G9079001003,"Oncology; disease status; prostate cancer, limited to adenocarcinoma as",Onc dx prostate t3b-t4noprog00      9,,,C,P7B,1      0200601012007
G9079002004,"predominant cell type; t3b-t4, any n; any t, n1 at diagnosis with no evidence",,,,,,
G9079003004,"of disease progression, recurrence, or metastases (for use in a",,,,,,
G9079004004,medicare-approved demonstration project),,,,,,
G9080001003,"Oncology; disease status; prostate cancer, limited to adenocarcinoma; after",Onc dx prostate w/rise psa  00      9,,,C,P7B,1      0200601012007
G9080002004,initial treatment with rising psa or failure of psa decline (for use in a,,,,,,
G9080003004,medicare-approved demonstration project),,,,,,
G9083001003,"Oncology; disease status; prostate cancer, limited to adenocarcinoma; extent of",Onc dx prostate unknwn nos  00      9,,,C,P7B,1      0200601012007
G9083002004,"disease unknown, staging in progress, or not listed (for use in a",,,,,,
G9083003004,medicare-approved demonstration project),,,,,,
G9084001003,"Oncology; disease status; colon cancer, limited to invasive cancer,","Onc dx colon t1-3,n1-2,no pr00      9",,,C,P7B,1      0200601012007
G9084002004,adenocarcinoma as predominant cell type; extent of disease initially,,,,,,
G9084003004,"established as t1-3, n0, m0 with no evidence of disease progression,",,,,,,
G9084004004,"recurrence, or metastases (for use in a medicare-approved demonstration project",),,,,,
G9085001003,"Oncology; disease status; colon cancer, limited to invasive cancer,","Onc dx colon t4, n0 w/o prog00      9",,,C,P7B,1      0200601012007
G9085002004,adenocarcinoma as predominant cell type; extent of disease initially,,,,,,
G9085003004,"established as t4, n0, m0 with no evidence of disease progression, recurrence,",,,,,,
G9085004004,or metastases (for use in a medicare-approved demonstration project),,,,,,
G9086001003,"Oncology; disease status; colon cancer, limited to invasive cancer,",Onc dx colon t1-4 no dx prog00      9,,,C,P7B,1      0200601012007
G9086002004,adenocarcinoma as predominant cell type; extent of disease initially,,,,,,
G9086003004,"established as t1-4, n1-2, m0 with no evidence of disease progression,",,,,,,
G9086004004,"recurrence, or metastases (for use in a medicare-approved demonstration project",),,,,,
G9087001003,"Oncology; disease status; colon cancer, limited to invasive cancer,",Onc dx colon metas evid dx  00      9,,,C,P7B,1      0200601012007
G9087002004,"adenocarcinoma as predominant cell type; m1 at diagnosis, metastatic, locally",,,,,,
G9087003004,"recurrent, or progressive with current clinical, radiologic, or biochemical",,,,,,
G9087004004,evidence of disease (for use in a medicare-approved demonstration project),,,,,,
G9088001003,"Oncology; disease status; colon cancer, limited to invasive cancer,",Onc dx colon metas noevid dx00      9,,,C,P7B,1      0200601012007
G9088002004,"adenocarcinoma as predominant cell type; m1 at diagnosis, metastatic, locally",,,,,,
G9088003004,"recurrent, or progressive without current clinical, radiologic, or biochemical",,,,,,
G9088004004,evidence of disease (for use in a medicare-approved demonstration project),,,,,,
G9089001003,"Oncology; disease status; colon cancer, limited to invasive cancer,",Onc dx colon extent unknown 00      9,,,C,P7B,1      0200601012007
G9089002004,"adenocarcinoma as predominant cell type; extent of disease unknown, staging in",,,,,,
G9089003004,"progress, or not listed (for use in a medicare-approved demonstration project)",,,,,,
G9090001003,"Oncology; disease status; rectal cancer, limited to invasive cancer,",Onc dx rectal t1-2 no progr 00      9,,,C,P7B,1      0200601012007
G9090002004,adenocarcinoma as predominant cell type; extent of disease initially,,,,,,
G9090003004,"established as t1-2, n0, m0 (prior to neo-adjuvant therapy, if any) with no",,,,,,
G9090004004,"evidence of disease progression, recurrence, or metastases (for use in a",,,,,,
